feature,mean_shap
needs_finance_bin,1.0036312
has_loan_bin,0.8993349
broad_sector_encoded,0.23960632
sales_per_employee,0.22018038
employees_now,0.1699289
detailed_sector_encoded,0.13760714
biggest_obstacle_encoded,0.13295914
region_encoded,0.12748937
log_sales,0.12576108
pct_internal_finance,0.09383462
survey_year,0.06306521
legal_status_clean_encoded,0.059574462
country_encoded,0.058001388
size_age_interaction,0.05503049
mgmt_quality_score,0.052356664
pct_supplier_finance,0.049362615
log_firm_age,0.049142573
pct_bank_finance,0.048012327
obstacle_electricity_score,0.04379792
is_exporter,0.04091328
firm_size_num,0.03852392
obstacle_workforce_score,0.036865655
obstacle_transport_score,0.029012013
obstacle_informality_score,0.026655413
infra_burden_score,0.025895566
obstacle_finance_score,0.02165062
obstacle_corruption_score,0.020023037
obstacle_count,0.019332837
obstacle_customs_score,0.018709077
manager_female,0.015495926
manager_university,0.009118045
finance_double_stress,0.0
