Feature,Mean |SHAP|
credit_constrained,2.0026116
employment_growth_rate,1.7076726
capacity_util_pct,1.4594141
needs_finance_bin,0.4747465
has_loan_bin,0.43355957
obstacle_workforce_score,0.12622689
employees_now,0.0992413
survey_year,0.07605678
log_sales,0.065533064
detailed_sector_encoded,0.05478835
country_encoded,0.05211298
legal_status_clean_encoded,0.05136722
broad_sector_encoded,0.05119909
biggest_obstacle_encoded,0.04672397
region_encoded,0.04639831
pct_supplier_finance,0.044578414
obstacle_informality_score,0.040915553
pct_internal_finance,0.03749838
obstacle_finance_score,0.03628821
obstacle_electricity_score,0.036148753
firm_size_num,0.034226783
mgmt_quality_score,0.034133747
manager_university,0.032769408
obstacle_corruption_score,0.0278177
infra_stress_score,0.027458837
obstacle_transport_score,0.0273174
obstacle_customs_score,0.020994375
pct_bank_finance,0.020916287
manager_female,0.018994829
emp_growth_available,0.01815224
is_exporter,0.015623645
